nom,genre,parti,changements,ch1-legislature,ch1-hansard,ch1-parti,ch2-legislature,ch2-hansard,ch2-parti,province,urlPhoto
Adam Chambers,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ChambersAdam_CPC.jpg
Adam van Koeverden,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/vanKoeverdenAdam_Lib.jpg
Adam Vaughan,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/VaughanAdam_Lib.jpg
Ahmed Hussen,H,PLC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/HussenAhmedD_Lib.jpg
Alain Rayes,H,PCC,1,441,102,Ind.,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/RayesAlain_CPC.jpg
Alain Therrien,H,BQ,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/TherrienAlain_BQ.jpg
Alaina Lockhart,F,PLC,0,,,,,,,Nouveau-Brunswick,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/LockhartAlaina_Lib.jpg
Alex Ruff,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/RuffAlex_CPC.jpg
Alexander Nuttall,H,PCC,0,,,,,,,Ontario,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/NuttallAlex_CPC.jpg
Alexandra Mendès,F,PLC,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/MendèsAlexandra_Lib.jpg
Alexandre Boulerice,H,NPD,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/BoulericeAlexandre_NDP.jpg
Alexis Brunelle-Duceppe,H,BQ,0,,,,,,,Québec,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/Brunelle-DuceppeAlexis_BQ.jpg
