Circonscription,province,parti,Date de début,Date de fin,nom,genre,legislature,urlPhoto
Edmonton Manning,Alberta,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Ziad Aboultaif,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AboultaifZiad_CPC.jpg
Central Okanagan—Similkameen—Nicola,Colombie-Britannique,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Dan Albas,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AlbasDan_CPC.jpg
Kitchener—Conestoga,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Harold Albrecht,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/AlbrechtHarold_CPC.jpg
Cloverdale—Langley City,Colombie-Britannique,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,John Aldag,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AldagJohn_Lib.jpg
Mississauga-Centre,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Omar Alghabra,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AshtonNiki_NDP.jpg
Niagara-Ouest,Ontario,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Dean Allison,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AllisonDean_CPC.jpg
Pontiac,Québec,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,William Amos,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/43/AmosWilliam_Lib.jpg
Scarborough—Rouge Park,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Gary Anandasangaree,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/AnandasangareeGary_Lib.jpg
Cypress Hills—Grasslands,Saskatchewan,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,David Anderson,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/AndersonDavid_CPC.jpg
Timmins—Baie James,Ontario,NPD,2015-10-19 00:00:00,2019-10-20 23:59:59,Charlie Angus,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/SousaCharles_Lib.jpg
North Okanagan—Shuswap,Colombie-Britannique,PCC,2015-10-19 00:00:00,2019-10-20 23:59:59,Mel Arnold,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/42/BernierMaxime_CPC.jpg
Madawaska—Restigouche,Provinces maritimes,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,René Arseneault,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/ArseneaultRené_Lib.jpg
Nepean,Ontario,PLC,2015-10-19 00:00:00,2019-10-20 23:59:59,Chandra Arya,H,42,https://www.noscommunes.ca/Content/Parliamentarians/Images/OfficialMPPhotos/44/CollinsChad_Lib.jpg
